date,consumption_mwh_day,temp_mean_c,is_holiday
2001-03-11,276.84080499995997,23.2,0
2001-03-12,331.22064,22.9,0
2001-03-13,343.6449,24.6,0
2001-03-14,348.60068499996,25.3,0
2001-03-15,351.22992999995995,25.3,0
2001-03-16,351.75327999996,26.7,0
2001-03-17,319.83299499996,24.7,0
2001-03-18,287.17010499996,24.6,0
2001-03-19,342.36884000004,24.7,0
2001-03-20,350.20122500004004,23.4,0
2001-03-21,349.188945,23.5,0
2001-03-22,353.79875000004,25.1,0
2001-03-23,357.05871500004,25.8,0
2001-03-24,327.75145499999996,25.1,0
2001-03-25,291.22553000003995,23.9,0
2001-03-26,346.14500499996,24.8,0
2001-03-27,354.25901499996,23.0,0
2001-03-28,352.119105,22.1,0
2001-03-29,344.40798500003996,22.1,0
2001-03-30,343.86487500000004,22.5,0
2001-03-31,311.795415,23.4,0
2001-04-01,279.352245,23.0,0
2001-04-02,335.23496499995997,21.4,0
2001-04-03,344.26323,22.4,0
2001-04-04,344.21379999996,22.1,0
2001-04-05,346.05776499996,23.4,0
2001-04-06,352.44389000004,25.8,0
2001-04-07,324.22803999996,24.4,0
2001-04-08,286.89743000004,23.1,0
2001-04-09,342.12780999996,23.9,0
2001-04-10,352.77296499996,25.8,0
2001-04-11,354.79910499996004,24.5,0
2001-04-12,344.20835000004,22.4,0
2001-04-13,274.513215,19.5,1
2001-04-14,286.67756000004,20.3,0
2001-04-15,272.182845,,1
2001-04-16,328.857645,21.0,0
2001-04-17,337.8762,20.5,0
2001-04-18,337.103535,21.2,0
2001-04-19,340.43766,22.8,0
2001-04-20,344.075715,24.3,0
2001-04-21,309.72975999996,24.1,1
2001-04-22,284.82245000003996,23.2,0
2001-04-23,341.12166500004,24.8,0
2001-04-24,352.41483999996,26.1,0
2001-04-25,353.53801500000003,22.9,0
2001-04-26,351.23655999996004,24.4,0
2001-04-27,349.17753999996,25.0,0
2001-04-28,319.83489500004,25.6,0
2001-04-29,286.6407,24.2,0
2001-04-30,320.18700500003996,22.4,0
2001-05-01,284.57762499996,23.0,1
2001-05-02,342.27267,24.7,0
2001-05-03,349.06112000004,25.0,0
2001-05-04,343.75989999996,,0
2001-05-05,303.48876999995997,17.6,0
2001-05-06,262.869555,15.6,0
2001-05-07,313.54391499996,15.7,0
2001-05-08,321.94050500004,16.9,0
2001-05-09,327.46284999996,18.0,0
2001-05-10,331.26428000004,,0
2001-05-11,331.21286000004,19.7,0
2001-05-12,303.96130500000004,16.7,0
